the_geom,cartodb_id,field_1,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,lon_lat,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E61000004437F794127852C0581BF4F6BE6A4440,37,17593,148970804,01/01/2016,01:15:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,WHITE HISPANIC,1018527,243130,40.8339527790001,-73.8761341489999,POINT (-73.87613414899994 40.83395277900007),12,22,5064.31075366
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,38,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),13,15,1092.81145455
0101000020E610000025F6A876687E52C068FC9460FA584440,39,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),14,2,1392.45147797
0101000020E6100000BDC090FB547952C028A6FF3D9C6D4440,40,400,191739126,01/01/2019,02:19:00,BRONX,46,2,MULTI DWELL - APT BUILD,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1013072,251276,40.856330633,-73.895811931,POINT (-73.89581193099997 40.85633063300003),15,3,4400.35427282
0101000020E6100000623BCE23B57352C0B1364216D4594440,41,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),16,4,8530.92646176
0101000020E61000006AD279FC7A7B52C008BC95BDD66A4440,42,7991,148970806,01/01/2016,02:40:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1003792,243378,40.834678362,-73.9293814839999,POINT (-73.92938148399996 40.834678362000034),17,12,1370.33339524
0101000020E61000008AA8EC681A7B52C0A0CFF4D046674440,43,12242,173154856,01/01/2018,00:15:00,BRONX,40,0,,false,,,,25-44,M,BLACK,"1,005,432","233,240",40.80684864,-73.92348693,POINT (-73.92348693000001 40.806848640000005),18,17,3996.99043514
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,44,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),19,15,4921.00539497
0101000020E610000025F6A876687E52C068FC9460FA584440,45,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),20,2,1477.84700465
0101000020E6100000A9A87D176F7752C031231DD434554440,46,22,191709964,01/01/2019,04:26:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1021382,181825,40.6656747000001,-73.866155503,POINT (-73.86615550299996 40.66567470000007),21,1,7918.97956045
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,47,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),22,15,1725.64200792
0101000020E610000057CA74E0437D52C0C6221B8242534440,48,16045,173135654,01/01/2018,06:30:00,BROOKLYN,70,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,"996,108","176,259",40.65046717,-73.95726787,POINT (-73.95726787 40.65046717),23,20,463.36370304
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,49,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),24,15,5221.83660597
0101000020E610000062C5A567B07F52C0409DBF647E494440,50,20390,159826972,01/01/2017,01:55:00,BROOKLYN,60,0,,false,,,,18-24,M,BLACK,985600,148459,40.574169725,-73.9951418989999,POINT (-73.99514189899996 40.57416972500005),25,24,4231.87606756
0101000020E6100000BDC090FB547952C028A6FF3D9C6D4440,51,400,191739126,01/01/2019,02:19:00,BRONX,46,2,MULTI DWELL - APT BUILD,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1013072,251276,40.856330633,-73.895811931,POINT (-73.89581193099997 40.85633063300003),26,3,1414.81786605
0101000020E6100000623BCE23B57352C0B1364216D4594440,52,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),27,4,8349.51011674
0101000020E6100000623BCE23B57352C0B1364216D4594440,53,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),28,4,5730.88302236
0101000020E6100000623BCE23B57352C0B1364216D4594440,54,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),29,4,4687.94697393
0101000020E6100000623BCE23B57352C0B1364216D4594440,55,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),30,4,11907.287271
0101000020E610000062C5A567B07F52C0409DBF647E494440,56,20390,159826972,01/01/2017,01:55:00,BROOKLYN,60,0,,false,,,,18-24,M,BLACK,985600,148459,40.574169725,-73.9951418989999,POINT (-73.99514189899996 40.57416972500005),31,24,4158.48083814
0101000020E61000004437F794127852C0581BF4F6BE6A4440,57,3344,148970804,01/01/2016,01:15:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,WHITE HISPANIC,1018527,243130,40.8339527790001,-73.8761341489999,POINT (-73.87613414899994 40.83395277900007),32,5,4686.72391449
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,58,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),33,15,1552.18189152
0101000020E6100000623BCE23B57352C0B1364216D4594440,59,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),34,4,8804.51473085
0101000020E61000006AD279FC7A7B52C008BC95BDD66A4440,60,7991,148970806,01/01/2016,02:40:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1003792,243378,40.834678362,-73.9293814839999,POINT (-73.92938148399996 40.834678362000034),35,12,1704.37419898
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,61,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),36,15,5513.55051187
0101000020E6100000396A8CA3807952C02025D595946D4440,62,18055,159842969,01/01/2017,19:35:00,BRONX,46,0,MULTI DWELL - APT BUILD,false,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1012335,251190,40.856096963,-73.898476493,POINT (-73.89847649299999 40.856096963000034),37,23,1007.90488798
0101000020E61000008AA8EC681A7B52C0A0CFF4D046674440,63,12242,173154856,01/01/2018,00:15:00,BRONX,40,0,,false,,,,25-44,M,BLACK,"1,005,432","233,240",40.80684864,-73.92348693,POINT (-73.92348693000001 40.806848640000005),38,17,4819.44158472
0101000020E610000025F6A876687E52C068FC9460FA584440,64,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),39,2,3346.98284038
0101000020E6100000A9A87D176F7752C031231DD434554440,65,22,191709964,01/01/2019,04:26:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1021382,181825,40.6656747000001,-73.866155503,POINT (-73.86615550299996 40.66567470000007),148,1,8294.86075077
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,66,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),40,15,2467.92346546
0101000020E610000025F6A876687E52C068FC9460FA584440,67,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),41,2,5822.14682394
0101000020E610000057CA74E0437D52C0C6221B8242534440,68,16045,173135654,01/01/2018,06:30:00,BROOKLYN,70,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,"996,108","176,259",40.65046717,-73.95726787,POINT (-73.95726787 40.65046717),42,20,1564.08396523
0101000020E61000006AD279FC7A7B52C008BC95BDD66A4440,69,7991,148970806,01/01/2016,02:40:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1003792,243378,40.834678362,-73.9293814839999,POINT (-73.92938148399996 40.834678362000034),43,12,1498.25044824
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,70,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),44,15,6179.80163011
0101000020E610000025F6A876687E52C068FC9460FA584440,71,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),45,2,3551.33770704
0101000020E610000025F6A876687E52C068FC9460FA584440,72,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),46,2,2493.6688577
0101000020E610000057CA74E0437D52C0C6221B8242534440,73,16045,173135654,01/01/2018,06:30:00,BROOKLYN,70,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,"996,108","176,259",40.65046717,-73.95726787,POINT (-73.95726787 40.65046717),47,20,4449.46694902
0101000020E6100000375460BC177C52C0F009ADAFF7584440,74,10901,148971010,01/01/2016,02:50:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1001180,192508,40.695058784,-73.938948721,POINT (-73.93894872099996 40.695058784000025),48,16,1952.9715752
0101000020E610000025F6A876687E52C068FC9460FA584440,75,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),49,2,4698.43631808
0101000020E610000062C5A567B07F52C0409DBF647E494440,76,20390,159826972,01/01/2017,01:55:00,BROOKLYN,60,0,,false,,,,18-24,M,BLACK,985600,148459,40.574169725,-73.9951418989999,POINT (-73.99514189899996 40.57416972500005),50,24,7253.66331681
0101000020E610000025F6A876687E52C068FC9460FA584440,77,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),51,2,1405.28256963
0101000020E6100000623BCE23B57352C0B1364216D4594440,78,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),52,4,2748.28485255
0101000020E6100000BDC090FB547952C028A6FF3D9C6D4440,79,400,191739126,01/01/2019,02:19:00,BRONX,46,2,MULTI DWELL - APT BUILD,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1013072,251276,40.856330633,-73.895811931,POINT (-73.89581193099997 40.85633063300003),53,3,2209.44416992
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,80,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),54,15,6586.77046237
0101000020E610000037B14222117A52C029E1C30B73554440,81,3582,159827412,01/01/2017,00:05:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,WHITE HISPANIC,1009968,182502,40.6675734240001,-73.9072957659999,POINT (-73.90729576599993 40.667573424000075),55,6,308.40281052
0101000020E6100000BDC090FB547952C028A6FF3D9C6D4440,82,400,191739126,01/01/2019,02:19:00,BRONX,46,2,MULTI DWELL - APT BUILD,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1013072,251276,40.856330633,-73.895811931,POINT (-73.89581193099997 40.85633063300003),56,3,3213.28973485
0101000020E6100000375460BC177C52C0F009ADAFF7584440,83,10901,148971010,01/01/2016,02:50:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1001180,192508,40.695058784,-73.938948721,POINT (-73.93894872099996 40.695058784000025),57,16,5444.60240093
0101000020E610000025F6A876687E52C068FC9460FA584440,84,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),58,2,4342.19258747
0101000020E61000006AD279FC7A7B52C008BC95BDD66A4440,85,7991,148970806,01/01/2016,02:40:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1003792,243378,40.834678362,-73.9293814839999,POINT (-73.92938148399996 40.834678362000034),59,12,1674.67013214
0101000020E610000025F6A876687E52C068FC9460FA584440,86,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),60,2,3389.27875126
0101000020E6100000B33ED2FECC8B52C020E917B553484440,87,9724,140396316,01/01/2015,01:30:00,STATEN ISLAND,123,0,GROCERY/BODEGA,false,25-44,M,BLACK,25-44,M,BLACK HISPANIC,933020,145192,40.565054547,-74.1843869259999,POINT (-74.18438692599993 40.565054547000045),61,14,9893.18629554
0101000020E6100000623BCE23B57352C0B1364216D4594440,88,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),62,4,3785.02761506
0101000020E6100000B33ED2FECC8B52C020E917B553484440,89,9724,140396316,01/01/2015,01:30:00,STATEN ISLAND,123,0,GROCERY/BODEGA,false,25-44,M,BLACK,25-44,M,BLACK HISPANIC,933020,145192,40.565054547,-74.1843869259999,POINT (-74.18438692599993 40.565054547000045),63,14,8018.89589845
0101000020E6100000623BCE23B57352C0B1364216D4594440,90,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),64,4,6164.85670504
0101000020E6100000375460BC177C52C0F009ADAFF7584440,91,10901,148971010,01/01/2016,02:50:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1001180,192508,40.695058784,-73.938948721,POINT (-73.93894872099996 40.695058784000025),65,16,736.48508844
0101000020E610000025F6A876687E52C068FC9460FA584440,92,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),66,2,2315.46010872
0101000020E610000025F6A876687E52C068FC9460FA584440,93,210,191739125,01/01/2019,05:40:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,991148,192533,40.695140908,-73.975125947,POINT (-73.97512594699998 40.69514090800004),67,2,2324.54019339
0101000020E6100000BDC090FB547952C028A6FF3D9C6D4440,94,400,191739126,01/01/2019,02:19:00,BRONX,46,2,MULTI DWELL - APT BUILD,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1013072,251276,40.856330633,-73.895811931,POINT (-73.89581193099997 40.85633063300003),68,3,1658.77260145
0101000020E6100000A90FAA284C7B52C0EFC5432472674440,95,10577,148970808,01/01/2016,04:35:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1004591,233721,40.808170827,-73.926523367,POINT (-73.92652336699997 40.80817082700002),69,15,5095.8605341
0101000020E610000057CA74E0437D52C0C6221B8242534440,96,16045,173135654,01/01/2018,06:30:00,BROOKLYN,70,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,"996,108","176,259",40.65046717,-73.95726787,POINT (-73.95726787 40.65046717),70,20,3398.77445083
0101000020E6100000623BCE23B57352C0B1364216D4594440,97,1602,173154491,01/01/2018,20:00:00,QUEENS,103,0,,false,,,,25-44,M,WHITE,"1,037,506","195,011",40.70178488,-73.8079309,POINT (-73.8079309 40.70178488),71,4,7030.53004458
0101000020E6100000B33ED2FECC8B52C020E917B553484440,98,9724,140396316,01/01/2015,01:30:00,STATEN ISLAND,123,0,GROCERY/BODEGA,false,25-44,M,BLACK,25-44,M,BLACK HISPANIC,933020,145192,40.565054547,-74.1843869259999,POINT (-74.18438692599993 40.565054547000045),72,14,8892.58398064
