the_geom,cartodb_id,fountain_ty,collection,system,featuresta,parentid,gispropnum,objectid,department,painted,gisobjid,signname,position,fountain_co,borough,descriptio,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E6100000C473C8E8BF7E52C0A57A15BBB7514440,15,F High Low,2018-01-27 00:00:00+00,B151-DF0507,Active,B151,B151,779,B-12,no,100038127,Dome Playground,"In Playground, Out in Open",2,B,"F High Low, In Playground, Out in Open",1526,1565,610.61542775
0101000020E610000043D4790D617152C0C9837487AF624440,16,E Wheelchair,2018-05-01 00:00:00+00,Q012-DF0748,Active,Q012,Q012,2748,Q-11,no,100040142,Crocheron Park,In Playground,1,Q,"E Wheelchair, In Playground",1844,45,378.34051051
0101000020E6100000DB43B6B61A7452C0792892B260694440,17,A,2018-01-20 00:00:00+00,X191A-DF0035,Active,X191A,X191A,317,X-10,no,100037730,Bicentennial Veterans Memorial Park,"Under Tree, Out in Open",1,X,"A, Under Tree, Out in Open",2073,277,354.90790848
0101000020E610000066E95B91387D52C0E83FC7B1C8504440,18,D,2018-01-23 00:00:00+00,B212-DF0389,Active,B212,B212,496,B-14,no,100037825,Hot Spot Tot Lot,"Under Tree, In Playground",1,B,"D, Under Tree, In Playground",2131,2303,743.47222257
0101000020E6100000D8CE7796DD8052C084F29DCD06514440,19,C,2018-02-22 00:00:00+00,B146-DF0790,Active,B146,B146,2086,B-10,no,100039405,Quaker Parrot Park at the Dust Bowl,Near Ballfield,1,B,"C, Near Ballfield",616,3115,415.73904599
0101000020E6100000ABDBD170548052C0D147600E3E5B4440,20,E Wheelchair,2018-03-27 00:00:00+00,M013-DF0344,Active,M013,M013,2537,M-01,yes,100039891,City Hall Park,Under Tree,1,M,"E Wheelchair, Under Tree",683,1944,79.04820349
0101000020E61000009928860B467E52C052D48DEB5C5F4440,21,D,2018-02-14 00:00:00+00,M076-DF0014,Active,M076,M076,1809,M-06,no,100039216,St. Vartan Park,In Playground,1,M,"D, In Playground",744,1320,148.20551629
0101000020E610000093B0ACC9BF7852C09E762A498F6D4440,22,E Wheelchair,2018-02-21 00:00:00+00,X102-DF0390,Active,X102,X102,2051,X-06,no,100039437,Ciccarone Park,"Out in Open, In Playground",1,X,"E Wheelchair, Out in Open, In Playground",1442,2821,305.14997376
0101000020E610000013132442CB7C52C027BAFD61FE654440,23,E Wheelchair Dog,2018-07-11 00:00:00+00,M010-DF0670,Active,M010,M010,3106,M-13,yes,100040429,Central Park,"Under Tree, In Shade",1,M,"E Wheelchair Dog, Under Tree, In Shade",1485,212,195.14854085
0101000020E61000001C97C9CDCA7F52C0BFE594CC074A4440,24,C,2018-01-22 00:00:00+00,B129-DF0359,Active,B129,B129,444,B-13,no,100037798,Kaiser Park,"Out in Open, In Playground",1,B,"C, Out in Open, In Playground",1522,189,349.04866055
0101000020E6100000057038EA317552C0F16CCB3C0C614440,25,A,2018-03-01 00:00:00+00,Q326-DF0689,Active,Q326,Q326,2315,Q-07,no,100039695,Bland Playground,"In Playground, Under Tree",1,Q,"A, In Playground, Under Tree",1740,576,168.12607701
0101000020E610000046467482997C52C0C948026A7A5A4440,26,A,2018-01-24 00:00:00+00,B055-DF0413,Active,B055,B055,535,B-01,yes,100037903,Sternberg Park,"Near Ballfield, Under Tree",1,B,"A, Near Ballfield, Under Tree",1,1291,516.95189594
0101000020E61000008B50986C047D52C07785A06BBA694440,27,E Wheelchair Dog,2018-02-16 00:00:00+00,M072-DF0061,Active,M072,M072,1906,M-14,yes,100039365,Riverside Park,"Out in Open, Just Outside Playground",1,M,"E Wheelchair Dog, Out in Open, Just Outside Playground",2,737,266.46893516
0101000020E610000034462361B47A52C0DD928083826D4440,28,D,2018-02-19 00:00:00+00,X111-DF0381,Active,X111,X111,2018,X-05,no,100039398,Cedar Playground,"Under Tree, In Playground",1,X,"D, Under Tree, In Playground",3,1171,692.35756382
0101000020E6100000A8C7395ADE7A52C011802B30416F4440,29,E Wheelchair,2018-02-27 00:00:00+00,M043-DF0197,Active,M043,M043,2241,M-12,yes,100039658,Isham Park,Out in Open,1,M,"E Wheelchair, Out in Open",4,1096,113.36364251
0101000020E61000006EE5BC8C487952C0D3BC64EC9F6E4440,30,C,2018-01-28 00:00:00+00,X040-DF0176,Active,X040,X040,818,X-07,yes,100038212,Poe Park,Out in Open,1,X,"C, Out in Open",5,706,275.6974774
0101000020E61000008D9D2B8C9C7652C064F1B981C8574440,31,D,2018-02-19 00:00:00+00,Q128-DF0603,Active,Q128,Q128,2024,Q-09,no,100039421,London Planetree Playground,In Playground,1,Q,"D, In Playground",6,166,551.79371274
0101000020E61000005E6D94C9C77A52C0CFF6EF2460614440,63,C,2018-01-25 00:00:00+00,Q444-DF0060,Active,Q444,Q444,649,Q-01,no,100038066,Sean's Place,In Playground,1,Q,"C, In Playground",38,524,405.72679417
0101000020E6100000E3639564777552C0441BB5B5DD5A4440,32,CS Concrete,2018-01-22 00:00:00+00,Q015-DF0001,Active,Q015,Q015,355,Q-16,no,100037746,Forest Park,Just Outside Playground,1,Q,"CS Concrete, Just Outside Playground",7,7,591.21841535
0101000020E610000074CAA0AF377E52C02E42A417DD4C4440,33,A,2018-02-12 00:00:00+00,B244-DF0661,Active,B244,B244,1657,B-15,yes,100038996,McDonald Playground,Out in Open,1,B,"A, Out in Open",8,812,576.33778556
0101000020E61000000884ED68C07C52C0764699B78B624440,34,B,2018-03-01 00:00:00+00,M045-DF0224,Active,M045,M045,2319,M-08,no,100039711,John Jay Park,Under Tree,1,M,"B, Under Tree",9,1904,753.68180611
0101000020E6100000393361CF6F7C52C0E08089DD216A4440,35,CS Metal,2018-04-24 00:00:00+00,M018-DF0497,Active,M018,M018,2694,M-09,no,100040053,Carmansville Park,"In Playground, Near Ballfield",1,M,"CS Metal, In Playground, Near Ballfield",10,1690,452.75829187
0101000020E61000001177E3C0686D52C0E6FBD555555F4440,36,A,2018-05-07 00:00:00+00,Q318-DF0767,Active,Q318,Q318,2767,Q-13,no,100040175,Playground Eighty LXXX,Near Ballfield,1,Q,"A, Near Ballfield",11,346,954.34153199
0101000020E6100000DB43B6B61A7452C0792892B260694440,37,A,2018-01-20 00:00:00+00,X191A-DF0035,Active,X191A,X191A,317,X-10,no,100037730,Bicentennial Veterans Memorial Park,"Under Tree, Out in Open",1,X,"A, Under Tree, Out in Open",12,277,435.78227944
0101000020E6100000A02EFA0E147C52C0EE2C2EC99C674440,38,D,2018-04-05 00:00:00+00,M204-DF0423,Active,M204,M204,2616,M-11,yes,100040048,Moore Playground,"Near Ballfield, Just Outside Playground",1,M,"D, Near Ballfield, Just Outside Playground",13,1139,239.59189262
0101000020E610000069FF644D187F52C0E4AF8D9DC7594440,39,A,2018-05-23 00:00:00+00,B223JB-DF0889,Active,B223JB,B223JB,2842,B-02,yes,100040252,Bridge Park,Near Ballfield,1,B,"A, Near Ballfield",14,649,311.90527229
0101000020E61000005541B666297952C0ECBAAE6B9B724440,40,C,2018-06-08 00:00:00+00,X092-DF0454,Active,X092,X092,3041,X-13,,100040415,Van Cortlandt Park,"Out in Open, Near Ballfield",1,X,"C, Out in Open, Near Ballfield",15,2469,90.95152935
0101000020E61000009F523D7C3C7252C04946A679EF624440,41,E Wheelchair,2018-02-23 00:00:00+00,Q387A-DF0627,Active,Q387A,Q387A,2128,Q-11,no,100039564,Bayside Fields,Near Ballfield,1,Q,"E Wheelchair, Near Ballfield",16,2454,394.86344881
0101000020E6100000DAA9DF3E307C52C006807F2E6B6C4440,42,A,2018-03-01 00:00:00+00,M099-DF0229,Active,M099,M099,2329,M-12,yes,100039737,J. Hood Wright Park,Near Ballfield,1,M,"A, Near Ballfield",17,458,374.54739224
0101000020E61000008CF640D9127A52C0121DD702BE624440,43,A,2018-01-25 00:00:00+00,Q385-DF0049,Active,Q385,Q385,634,Q-01,,100038079,Ditmars Park,In Playground,1,Q,"A, In Playground",18,2479,183.93288101
0101000020E61000003CD47E90C77E52C09A82C89A1C654440,44,E Wheelchair Dog,2018-02-14 00:00:00+00,M071-DF0025,Active,M071,M071,1836,M-14,yes,100039234,Riverside Park,"Under Tree, Out in Open",1,M,"E Wheelchair Dog, Under Tree, Out in Open",19,2440,131.64138465
0101000020E610000030E200F3CE7D52C0052A134ED9574440,45,D,2018-02-12 00:00:00+00,B301-DF0711,Active,B301,B301,1725,B-02,no,100039094,Greene Playground,In Playground,1,B,"D, In Playground",20,546,403.02190555
0101000020E6100000D0B779212C7852C01EA9B3D80B5F4440,46,E Wheelchair,2018-04-17 00:00:00+00,Q013-DF0730,Active,Q013,Q013,2663,Q-04,no,100040037,Veterans Grove,"Under Tree, Just Outside Playground",1,Q,"E Wheelchair, Under Tree, Just Outside Playground",21,2100,683.5790675
0101000020E6100000BC591D6D437C52C07896BFA604664440,47,F High Low,2018-05-01 00:00:00+00,M111-DF0508,Active,M111,M111,2732,M-11,yes,100040140,James Weldon Johnson Playground,"Near Ballfield, Just Outside Playground",2,M,"F High Low, Near Ballfield, Just Outside Playground",22,2612,82.26395025
0101000020E6100000137C7301177D52C0D1E87E2F09544440,48,D,2018-01-22 00:00:00+00,B267-DF0310,Active,B267,B267,384,B-09,no,100037749,Parkside Playground,In Playground,1,B,"D, In Playground",23,1574,448.0526373
0101000020E610000061F7C8FD9F7E52C0570281C616644440,49,F High Low,2018-03-20 00:00:00+00,M219-DF0323,Active,M219,M219,2514,M-07,no,100039978,Tecumseh Playground,"Under Tree, Just Outside Playground, Near Ballfield",2,M,"F High Low, Under Tree, Just Outside Playground, Near Ballfield",24,1938,187.59249207
0101000020E6100000716EF0E0C98052C097C17750684E4440,50,A,2018-02-12 00:00:00+00,B028-DF0659,Active,B028,B028,1655,B-10,no,100039044,Dyker Beach Park,In Playground,1,B,"A, In Playground",25,1813,364.42839208
0101000020E61000009400B4F2787952C01FEB59088C6F4440,51,A,2018-02-28 00:00:00+00,X038-DF0411,Active,X038,X038,2271,X-08,yes,100039628,Washington's Walk,"Under Tree, In Shade",1,X,"A, Under Tree, In Shade",26,2463,275.97951307
0101000020E6100000EC592F0B126F52C01631C1D382614440,52,A,2018-02-23 00:00:00+00,Q369-DF0610,Active,Q369,Q369,2111,Q-11,yes,100039545,Louis Pasteur Park,In Playground,1,Q,"A, In Playground",27,2322,750.76746022
0101000020E610000060317CDBD17452C01D97CF84C75F4440,53,B,2018-02-26 00:00:00+00,Q300-DF0631,Active,Q300,Q300,2148,Q-07,no,100039554,Kissena Corridor Park,"Under Tree, In Playground",1,Q,"B, Under Tree, In Playground",28,2629,364.92024808
0101000020E61000007D32D8A87E7052C0D01819288E594440,54,D,2018-02-04 00:00:00+00,Q106-DF0471,Active,Q106,Q106,1385,Q-12,no,100038696,Daniel M. O'Connell Playground,In Playground,1,Q,"D, In Playground",29,713,455.30473062
0101000020E6100000D6337A628B7052C0B0347298B14C4440,55,Bottle Filler High Low,2018-02-01 00:00:00+00,Q353-DF0202,Active,Q353,Q353,1053,Q-14,no,100038456,Grassmere Playground,Near Ballfield,2,Q,"Bottle Filler High Low, Near Ballfield",30,858,619.44678729
0101000020E61000001A4FC2171A7F52C023323D4FF64D4440,56,E Wheelchair,2018-02-10 00:00:00+00,B100-DF0644,Active,B100,B100,1585,B-11,yes,100038939,Seth Low Playground/ Bealin Square,"Out in Open, Just Outside Playground",1,B,"E Wheelchair, Out in Open, Just Outside Playground",31,239,217.23724421
0101000020E610000096277358DD7452C0677C3E4FF56C4440,57,C,2018-01-18 00:00:00+00,X039-DF0022,Active,X039,X039,267,X-15,yes,100037634,Pelham Bay Park,In Playground,1,X,"C, In Playground",32,1977,119.45504522
0101000020E610000011FA05EED37B52C0E9D7044393654440,58,B,2018-04-05 00:00:00+00,M047-DF0406,Active,M047,M047,2599,M-11,no,100039983,Thomas Jefferson Park,"Under Tree, Near Ballfield, In Playground",1,M,"B, Under Tree, Near Ballfield, In Playground",33,1289,215.90681341
0101000020E6100000DF556119A56D52C09A5A1E05E35E4440,59,A,2018-01-30 00:00:00+00,Q352-DF0073,Active,Q352,Q352,662,Q-13,yes,100038071,Hillside Park,Out in Open,1,Q,"A, Out in Open",34,2016,546.7221709
0101000020E6100000393361CF6F7C52C0E08089DD216A4440,60,CS Metal,2018-04-24 00:00:00+00,M018-DF0497,Active,M018,M018,2694,M-09,no,100040053,Carmansville Park,"In Playground, Near Ballfield",1,M,"CS Metal, In Playground, Near Ballfield",35,1690,338.63752948
0101000020E6100000421661D25E7D52C067B8FA27ED614440,61,E Wheelchair,2018-03-03 00:00:00+00,M079-DF0266,Active,M079,M079,2401,M-08,no,100039863,St. Catherine's Park,Out in Open,1,M,"E Wheelchair, Out in Open",36,942,65.94993879
0101000020E61000005B2BD7C1177A52C02DBEDB0B706D4440,62,C,2018-01-21 00:00:00+00,X300-DF0048,Active,X300,X300,341,X-05,no,100037704,Davidson Playground,"In Playground, Under Tree",1,X,"C, In Playground, Under Tree",37,1907,220.93002886
0101000020E6100000EEAE75E89E7F52C0415C028ED8554440,64,C,2018-01-20 00:00:00+00,B095-DF0259,Active,B095,B095,299,B-06,yes,100037630,Ennis Playground,In Playground,1,B,"C, In Playground",39,2492,431.35919749
0101000020E6100000D0B779212C7852C01EA9B3D80B5F4440,65,E Wheelchair,2018-04-17 00:00:00+00,Q013-DF0730,Active,Q013,Q013,2663,Q-04,no,100040037,Veterans Grove,"Under Tree, Just Outside Playground",1,Q,"E Wheelchair, Under Tree, Just Outside Playground",148,2100,311.14518142
0101000020E6100000724CF0B9F17C52C0407C15A2B3684440,66,Other,2018-04-23 00:00:00+00,M003-DF0490,Active,M003,M003,2687,M-09,no,100040012,Annunciation Playground,"Near Ballfield, Just Outside Playground",1,M,"Other, Near Ballfield, Just Outside Playground",40,270,81.92574886
0101000020E610000073D84AFA218052C0FB9AF05CEF5E4440,67,C,2018-02-27 00:00:00+00,M066-DF0205,Active,M066,M066,2249,M-04,no,100039644,Dr. Gertrude B. Kelly Playground,"Under Tree, Near Ballfield, In Playground",1,M,"C, Under Tree, Near Ballfield, In Playground",41,242,530.85270223
0101000020E610000022EF0A239C7B52C0CFB41387EF524440,68,CS Concrete,2018-01-27 00:00:00+00,B234-DF0501,Active,B234,B234,773,B-17,no,100038138,Tilden Playground,"Out in Open, In Playground",1,B,"CS Concrete, Out in Open, In Playground",42,128,732.03646234
0101000020E6100000DAA9DF3E307C52C006807F2E6B6C4440,69,A,2018-03-01 00:00:00+00,M099-DF0229,Active,M099,M099,2329,M-12,yes,100039737,J. Hood Wright Park,Near Ballfield,1,M,"A, Near Ballfield",43,458,189.61875156
0101000020E6100000FCE95F67987D52C0B8258491A3604440,70,E Wheelchair,2018-02-22 00:00:00+00,M108P-DF0065,Active,M108P,M108P,1918,M-06,yes,100039360,Sutton Parks,Under Tree,1,M,"E Wheelchair, Under Tree",44,172,777.65446486
0101000020E6100000DCFCE65B038152C0501E3C86A95A4440,71,Other,2018-02-27 00:00:00+00,-DF0202,Active,,,2246,M-01,yes,,Battery Park City Parks,"Under Tree, Near Ballfield, In Playground",1,M,"Other, Under Tree, Near Ballfield, In Playground",45,457,194.04214478
0101000020E6100000DAA21C364F7F52C05D42F741805B4440,72,E Wheelchair,2018-02-28 00:00:00+00,M082-DF0212,Active,M082,M082,2285,M-03,yes,100039672,Seward Park,"Under Tree, In Playground",1,M,"E Wheelchair, Under Tree, In Playground",46,2206,257.13503487
0101000020E6100000B61F0B06C68052C028F813DD1F534440,73,A,2018-01-29 00:00:00+00,B210J-DF0525,Active,B210J,B210J,851,B-07,yes,100038243,Pena Herrera Park,In Playground,1,B,"A, In Playground",47,2153,192.4606334
0101000020E61000009F6471491B7D52C026F36FB254574440,74,C,2018-01-22 00:00:00+00,B237-DF0312,Active,B237,B237,388,B-03,yes,100037788,John Hancock Playground,In Playground,1,B,"C, In Playground",48,3069,63.44634863
0101000020E6100000B1073135D67E52C08980D492335E4440,75,D,2018-02-22 00:00:00+00,M227-DF0034,Active,M227,M227,1845,M-06,no,100039232,Peter's Field,Out in Open,1,M,"D, Out in Open",49,2996,243.05884619
0101000020E6100000AF519D04F98152C0B719085ED7514440,76,A,2018-05-15 00:00:00+00,B066-DF0878,Active,B066,B066,2831,B-10,no,100040203,Owl's Head Park,In Playground,1,B,"A, In Playground",50,88,611.74068163
0101000020E610000057DFF6C25A7F52C0974E2F2AB4584440,77,Other,2018-02-25 00:00:00+00,B113C-DF0803,Active,B113C,B113C,2145,B-02,no,100039518,Korean War Veterans Plaza,Out in Open,1,B,"Other, Out in Open",51,2049,155.49045178
0101000020E61000004DA191A6057252C0EDA8EEBEC65A4440,78,A,2018-02-04 00:00:00+00,Q120-DF0476,Active,Q120,Q120,1390,Q-12,no,100038774,Harvard Playground,Out in Open,1,Q,"A, Out in Open",52,3046,533.35844107
0101000020E6100000C86158F7797852C0C29E68F35A704440,79,A,2018-01-28 00:00:00+00,X033-DF0164,Active,X033,X033,806,X-07,yes,100038230,Mosholu Parkway,"Out in Open, In Playground",1,X,"A, Out in Open, In Playground",53,2726,430.78566642
0101000020E610000075AEF87C457F52C016205274BB624440,80,F High Low,2018-03-27 00:00:00+00,M063-DF0341,Active,M063,M063,2534,M-07,yes,100039947,Gertrude Ederle Recreation Center,"In Playground, Near Ballfield",2,M,"F High Low, In Playground, Near Ballfield",54,2222,146.69760338
0101000020E6100000B6D6DFC0207A52C07F98CE1CF6554440,81,A,2018-01-15 00:00:00+00,B260-DF0174,Active,B260,B260,184,B-16,yes,100037548,Howard Playground,"Under Tree, In Shade",1,B,"A, Under Tree, In Shade",55,1976,203.08056019
0101000020E6100000E79809410F7852C06FE9FFE862704440,82,Other,2018-01-27 00:00:00+00,X104-DF0120,Active,X104,X104,738,X-07,no,100038117,Williamsbridge Oval,Out in Open,2,X,"Other, Out in Open",56,785,379.04590626
0101000020E61000009719D3140A7B52C0D471D385DA5E4440,83,C,2018-01-26 00:00:00+00,Q044-DF0085,Active,Q044,Q044,674,Q-02,no,100038065,L/CPL Thomas P. Noonan Jr. Playground,"Under Tree, Just Outside Playground",1,Q,"C, Under Tree, Just Outside Playground",57,2645,619.95770632
0101000020E61000001B4704AE358052C0FEB78065085D4440,84,E High Low,2018-04-14 00:00:00+00,M207-DF0454,Active,M207,M207,2647,M-02,yes,100040071,Father Fagan Park,Under Tree,2,M,"E High Low, Under Tree",58,332,199.03213396
0101000020E61000003A1F1FE2557C52C09EF5646979694440,85,A,2018-04-23 00:00:00+00,M014-DF0479,Active,M014,M014,2676,M-10,yes,100040036,Jackie Robinson Park,"In Shade, Just Outside Playground",1,M,"A, In Shade, Just Outside Playground",59,847,142.86874518
0101000020E61000000F0E46C9387F52C026E236CAB2544440,86,D,2018-01-29 00:00:00+00,B255F-DF0535,Active,B255F,B255F,863,B-07,no,100038269,Detective Joseph Mayrose Park,Out in Open,1,B,"D, Out in Open",60,2594,524.89926757
0101000020E6100000CF406A13708652C026B6B70751504440,87,A,2018-02-16 00:00:00+00,R022-DF0155,Active,R022,R022,1944,R-01,yes,100039327,Silver Lake Park,Near Ballfield,1,R,"A, Near Ballfield",61,1638,528.56022606
0101000020E61000002D1186C6297652C0463B9F416B5C4440,88,D,2018-02-08 00:00:00+00,Q207-DF0548,Active,Q207,Q207,1557,Q-06,no,100038972,MacDonald Park,Out in Open,1,Q,"D, Out in Open",62,1116,170.16151837
0101000020E6100000EAD230E52D9052C01FF569B458404440,89,E Wheelchair,2018-02-15 00:00:00+00,R006-DF0143,Active,R006,R006,1895,R-03,no,100039291,Conference House Park,Out in Open,1,R,"E Wheelchair, Out in Open",63,1444,1017.72371602
0101000020E6100000EB419309B07152C072DEA221BC5F4440,90,C,2018-02-23 00:00:00+00,Q293-DF0620,Active,Q293,Q293,2121,Q-11,no,100039569,Saul Weprin Playground,Near Ballfield,1,Q,"C, Near Ballfield",64,1293,680.06131915
0101000020E610000078C857CB887C52C0B7E2DC8BBA594440,91,A,2018-01-23 00:00:00+00,B286-DF0399,Active,B286,B286,506,B-01,yes,100037988,Bartlett Playground,"Under Tree, Just Outside Playground",1,B,"A, Under Tree, Just Outside Playground",65,918,169.88737437
0101000020E6100000A43041CAFC7E52C0805EAE0525564440,92,E Wheelchair Child,2018-01-19 00:00:00+00,B111-DF0251,Active,B111,B111,287,B-06,no,100037643,J.J. Byrne Playground,In Playground,2,B,"E Wheelchair Child, In Playground",66,2158,304.32144232
0101000020E61000002D3F1A35F87F52C066A1302A46584440,93,CS Concrete,2018-01-20 00:00:00+00,B050-DF0264,Active,B050,B050,304,B-06,no,100037712,Van Voorhees Park,In Playground,1,B,"CS Concrete, In Playground",67,1895,199.74701966
0101000020E6100000CF7799CD587852C0D9D758F82C6F4440,94,A,2018-01-22 00:00:00+00,X033-DF0059,Active,X033,X033,398,X-07,yes,100037708,Mosholu Parkway,Near Ballfield,1,X,"A, Near Ballfield",68,1499,238.58558147
0101000020E6100000356E10B95C7D52C0E458887DFC614440,95,E Wheelchair Child,2018-03-03 00:00:00+00,M079-DF0268,Active,M079,M079,2403,M-08,no,100039810,St. Catherine's Park,Under Tree,2,M,"E Wheelchair Child, Under Tree",69,2679,376.39529704
0101000020E61000001522204D587F52C0D48ECA76A1544440,96,D,2018-01-29 00:00:00+00,B288-DF0534,Active,B288,B288,861,B-07,no,100038292,Slope Park,In Playground,1,B,"D, In Playground",70,880,567.41689433
0101000020E610000065D42C542B7752C01483FF4CD25F4440,97,C,2018-01-30 00:00:00+00,Q026-DF0145,Active,Q026,Q026,942,Q-04,no,100038339,Park Of The Americas,Near Ballfield,1,Q,"C, Near Ballfield",71,164,113.29586833
0101000020E61000008487ECA0B98552C0542125F2184D4440,98,A,2018-02-10 00:00:00+00,R073-DF0098,Active,R073,R073,1590,R-02,yes,100038936,Naples Playground,Just Outside Playground,1,R,"A, Just Outside Playground",72,2520,161.16167211
0101000020E610000091A637C10B7A52C0194C5E93B9684440,99,A,2018-02-11 00:00:00+00,X194-DF0301,Active,X194,X194,1617,X-01,yes,100039075,Captain Rivera Playground,"Under Tree, Out in Open, In Playground",1,X,"A, Under Tree, Out in Open, In Playground",73,1341,256.26314517
0101000020E61000006A2C0334E97852C0716D02477A684440,100,C,2018-02-12 00:00:00+00,X260-DF0312,Active,X260,X260,1628,X-02,no,100039065,Julio Carballo Fields,Near Ballfield,1,X,"C, Near Ballfield",74,375,120.37094399
0101000020E6100000FF1CA172437F52C0F4AE4BC4F55E4440,101,E Wheelchair,2018-02-20 00:00:00+00,M052-DF0104,Active,M052,M052,2042,M-05,yes,100039417,Madison Square Park,"In Shade, Under Tree",1,M,"E Wheelchair, In Shade, Under Tree",75,2028,412.35853951
0101000020E6100000AFEB2C362A7C52C00E3B8D5E886B4440,102,E Wheelchair,2018-02-15 00:00:00+00,M054-DF0062,Active,M054,M054,1909,M-12A,no,100039348,Mitchel Square,Out in Open,1,M,"E Wheelchair, Out in Open",76,1282,278.29418059
0101000020E6100000EEAE75E89E7F52C0415C028ED8554440,103,C,2018-01-20 00:00:00+00,B095-DF0259,Active,B095,B095,299,B-06,yes,100037630,Ennis Playground,In Playground,1,B,"C, In Playground",77,2492,431.35919749
0101000020E610000022EF0A239C7B52C0CFB41387EF524440,104,CS Concrete,2018-01-27 00:00:00+00,B234-DF0501,Active,B234,B234,773,B-17,no,100038138,Tilden Playground,"Out in Open, In Playground",1,B,"CS Concrete, Out in Open, In Playground",78,128,437.40814598
0101000020E6100000D0A18388207852C0B0FC70A175704440,105,C,2018-01-27 00:00:00+00,X104-DF0124,Active,X104,X104,742,X-07,no,100038128,Williamsbridge Oval,"Under Tree, In Playground",1,X,"C, Under Tree, In Playground",79,1699,330.89009973
0101000020E610000063B5EF0E387852C009743706F4604440,106,D,2018-02-02 00:00:00+00,Q362-DF0351,Active,Q362,Q362,1229,Q-03,no,100038606,Playground Ninety,"Out in Open, In Playground",1,Q,"D, Out in Open, In Playground",80,2310,231.34653737
