the_geom,cartodb_id,objectid,angle,site_id,status,type,street,xstreet1,xstreet2,side,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E6100000B37E417E5C8052C09A0D1139DF5C4440,73,1411,7.63,LM-181,Installed,Type B,Varick Street,Spring Street,Dominick Street,E,58,486,116.93396005
0101000020E61000008DDE4FE2747C52C0A002B2D774694440,74,1252,119,UM-072,Installed,Type B,W 145 Street,St. Nicholas Avenue,Edgecombe Avenue,S,59,436,258.62872017
0101000020E6100000C8EE5963AF7E52C0CDE34376A6544440,75,48,32,HB-037,Installed,Type B,Prospect Park West,Bartel Pritchard Square,14 Street,E,60,28,956.77626105
0101000020E610000032ED4EAD218752C01C19490796504440,76,1798,76.98,NS-025,Installed,Type B,Forest Avenue,Bement Avenue,North Burgher Avenue,S,61,575,534.34274338
0101000020E610000035BF4454027752C069D246EE2B5B4440,77,2908,2.55,QWH-050,Installed,Type D,Woodhaven Boulevard,Metropolitan Avenue,Polo Place,E,62,710,1648.54072886
0101000020E6100000088BE8E9C68952C0EA23EEBC86514440,78,1346,84.67,NS-001,Pending Sign,Type A,Richmond Terrace,Van Name Avenue,Mariners Lane,N,63,459,16171.37169946
0101000020E610000070E22B6D587152C0F111E5E9B9614440,79,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,64,721,1391.02994344
0101000020E610000090468A84D07C52C0B491B95E8D594440,80,475,171.4,NR-034,Installed,Type B,Marcy Avenue,Flushing Avenue,Ellery Street,W,65,170,538.24023997
0101000020E61000009822ACA4607E52C0318EBD790A574440,81,881,151,NF-005,Installed,Type B,Flatbush Avenue,St. Marks Avenue,6 Avenue,W,66,280,815.52839818
0101000020E61000009EC0DA2F1D8052C0B6A35E3AA0584440,82,2951,109.77,SB-069,Installed,Custom,BBP Pier 6,,,E,67,732,455.55344931
0101000020E6100000AF323421877852C0BF16291E066F4440,83,793,51,X41-009,Sign Held,Type D,Webster Avenue,Bedford Park Boulevard,Botanical Square South,E,68,248,38.45988343
0101000020E6100000D083DB8B557D52C09CD7828062624440,84,1666,29,UE-021,Installed,Type B,2 Avenue,E 72 Street,E 71 Street,E,69,559,223.68188555
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,85,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,70,518,994.67025294
0101000020E61000005A47CE34307752C0449B2139F95F4440,86,965,82.45,CO-001,Installed,Type C,Roosevelt Avenue,National Street,104 Street,S,71,301,36.07779377
0101000020E610000098BC0FC0158552C034A62158F74F4440,87,1791,67.59,NS-018,Installed,Type B,Broad Street,Tompkins Avenue,Quinn Street,N,72,573,2694.53379877
0101000020E6100000C0F8BE42217A52C06CF512DF74684440,88,2857,75.43,SX-088,Installed,Type B,Westchester Avenue,Jackson Avenue,Trinity Avenue,N,73,683,91.81541836
0101000020E61000001C2CD252E77852C04C492092CD684440,89,2168,332.4,X6-042,Installed,Type D,Hunts Point Avenue,Seneca Avenue,Garrison Avenue,E,74,629,213.96366295
0101000020E61000007A40967E947F52C0FED519B8235F4440,90,1845,299,M23-011,Installed,Type D,W 23 Street,6 Avenue,7 Avenue,N,75,595,251.81861089
0101000020E6100000E2A6AB3E247C52C0D4D50BCEF06A4440,91,1211,170.59,UM-030,Installed,Type B,St. Nicholas Avenue,W 162 Street,W 161 Street,W,76,419,342.14063307
0101000020E6100000C8EE5963AF7E52C0CDE34376A6544440,92,48,32,HB-037,Installed,Type B,Prospect Park West,Bartel Pritchard Square,14 Street,E,77,28,1198.75730641
0101000020E610000034DB3C578A7B52C0C57195A079534440,93,1437,176.5,B46-018,Pending Sign,Type D,Utica Avenue,Church Avenue,Linden Boulevard,E,78,498,42.46010982
0101000020E61000008181978A1A7852C0457C6405826F4440,94,785,37,X41-010,Sign Held,Type D,Webster Avenue,E 204 Street,E 205 Street,E,79,243,1144.63222182
0101000020E61000006DB5A479E37852C07229A0AA71604440,95,2687,172,JH-023,Installed,Type B,78 Street,34 Avenue,Northern Boulevard,W,80,677,765.89866061
0101000020E6100000DB472208E37C52C09E8DB78E10524440,96,165,355.5,B44-016,Installed,Type D,Rogers Avenue,Avenue D,Clarendon Road,E,81,95,258.22927764
0101000020E61000009FA0EA99877A52C00986232C126C4440,97,1465,119,SX-062,Installed,Type B,E Mount Eden Avenue,Jerome Avenue,Townsend Avenue,N,82,513,595.0543243
0101000020E61000006113D70BDB7C52C02A782418F6544440,98,507,175.43,NR-066,Installed,Type B,Nostrand Avenue,Empire Boulevard,Sterling Street,E,83,181,353.52150765
0101000020E61000008C54FE4F8B7752C06E2DCBF6905C4440,99,2906,325.7,QWH-051,Installed,Type D,Woodhaven Boulevard,Penelope Avenue,63 Drive,E,84,708,660.18529708
0101000020E6100000D6E5794A4F7F52C006C3F9AF994D4440,100,3078,38.4,B82-004,Pending Sign,Type D,Bay Parkway,78 Street,79 Street,E,85,763,1236.93409776
0101000020E6100000DF3D2964A57752C0822B9005ED5F4440,101,2107,157,CO-011,Installed,Type B,Junction Boulevard,Roosevelt Avenue,38 Avenue,E,86,615,886.97701166
0101000020E61000009C0302F3967B52C0876F2E4E87554440,102,1432,4,B46-021,Removed Sign/Footing (Temporary),Type D,Utica Avenue,Eastern Parkway,Union Street,E,87,494,562.05341209
0101000020E6100000731CE9CE8D7852C0F23B2201B15F4440,103,1022,81.6,JH-003,Installed,Type A,Roosevelt Avenue,82 Street,83 Street,N,88,317,334.79956548
0101000020E6100000E934C2A93A7E52C0CEF8FD9DB1564440,104,884,15,NF-008,Installed,Type B,Carlton Avenue,Flatbush Avenue,Park Place,W,89,281,73.73502285
0101000020E61000003227AD67997B52C0A49D49B1C1584440,105,1426,171.4,B46-001,Installed,Type D,Malcolm X Boulevard,DeKalb Avenue,Kosciuszko Street,W,90,488,918.1002931
0101000020E610000003208AF3397A52C00DEBB5FFE96F4440,106,1485,45.98,KB-001,Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E,91,519,680.76314874
0101000020E6100000149A374AC17752C0063FA9D8F45D4440,107,2904,291.1,QWH-052,Installed,Type D,Queens Boulevard,59 Avenue,90 Street,N,92,706,40.03617603
0101000020E6100000488888805A7D52C0A66F653E46534440,108,523,168.62,NR-082,Installed,Type B,Flatbush Avenue,Church Avenue,Martense Street,E,93,189,272.94903744
0101000020E6100000D1877DCF5E7952C06DF2F7A319694440,109,2171,270.39,X6-045,Installed,Type D,E 163 Street,Kelly Street,Intervale Avenue,N,94,630,259.30321454
0101000020E61000008A4648A46D7E52C06EE7A221D5644440,110,1400,119,M86-017,Installed,Type D,W 86 Street,Amsterdam Avenue,Broadway,S,95,481,45.32386727
0101000020E61000005A1F363BD37F52C08149ECD8A34C4440,111,3127,218.37,B82-042,Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,W,96,794,1233.23419909
0101000020E6100000ACED14CBD97752C04FB86CF4AE6B4440,112,3128,26.5,EX-002,Installed,Type B,Morris Park Avenue,E 180 Street,Adams Street,W,97,795,1774.22776532
0101000020E61000001F19530D2C7F52C0F8FFF8789C584440,113,3230,92,DB-076,Installed,Type B,Willoughby Street,Jay Street,Lawrence Street,N,98,828,346.3254912
0101000020E61000004FFAAB648B7652C0A35DEE5AC1584440,114,2911,155.76,QWH-010,Removed Sign Only (Temporary),Type D,Woodhaven Boulevard,Jamaica Avenue,88 Avenue,W,99,713,21.69670398
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,115,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,100,265,385.99407323
0101000020E610000003208AF3397A52C00DEBB5FFE96F4440,116,1485,45.98,KB-001,Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E,101,519,3591.64107359
0101000020E610000080C0AF18738752C0452C69C982504440,117,2696,91.26,NS-033,Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N,102,678,1649.83508206
0101000020E6100000A14B898EB27E52C02189BD9F56524440,118,2112,172.08,FB-010,Installed,Type B,McDonald Avenue,Church Avenue,Albemarle Road,W,103,616,1102.60221389
0101000020E6100000EAED81F0537E52C069E38B9D355F4440,119,1868,119,MT-221,Installed,Type B,E 34 Street,1 Avenue,2 Avenue,S,104,609,180.55546167
0101000020E6100000AB9CBDC1E17C52C040FDD5D8F1674440,120,3815,29,UM-172,Pending Sign,Type B,St. Nicolas Avenue,W 127 Street,W 128 Street,E,105,863,58.21447705
0101000020E610000062F391D9D67C52C046A0BF3B505A4440,121,470,126.96,NR-029,Installed,Type B,Broadway,Johnson Avenue,Heyward Street,S,106,169,295.77618963
0101000020E6100000C260019D457E52C07D5E09158B654440,122,1272,29,UW-011,Installed,Type B,Broadway,W 94 Street,W 93 Street,W,107,443,377.57056513
0101000020E61000008181978A1A7852C0457C6405826F4440,123,785,37,X41-010,Sign Held,Type D,Webster Avenue,E 204 Street,E 205 Street,E,108,243,851.43752514
0101000020E6100000DDC50408D47C52C001412DF3BE694440,124,1222,29,UM-040,Installed,Type B,Broadway,W 145 Street,W 144 Street,E,109,425,145.5313654
0101000020E6100000C1C90389DB7E52C06BF644BBA65D4440,125,745,29,M15-007,Installed,Type D,1 Avenue,E 14 Street,E 15 Street,E,110,236,25.15210404
0101000020E6100000D7678BBD6E7C52C07121DFA6DA644440,126,3130,27.0649357538,UE-122,Installed,Fingerpost,2 Avenue,E 102 Street,E 101 Street,E,111,796,109.43701818
0101000020E6100000861C0EC8447E52C0AE56B09778654440,127,1273,29,UW-012,Installed,Type B,Broadway,W 93 Street,W 94 Street,E,112,444,214.43917273
0101000020E6100000FB5128AD177E52C0307B5DBDC7524440,128,521,62.38,NR-080,Installed,Type B,Church Avenue,E 10 Street,Stratford Road,N,113,187,291.23251451
0101000020E6100000DD5606AC547652C039B556B1EE664440,129,3146,349,CP-001,Installed,Custom,Soundview Avenue,Shorehaven Greenway,,S,114,804,1615.18960862
0101000020E61000005A47CE34307752C0449B2139F95F4440,130,965,82.45,CO-001,Installed,Type C,Roosevelt Avenue,National Street,104 Street,S,115,301,36.07779377
0101000020E61000003D4BE45DE97C52C0B5D2E7A670584440,131,161,171.39,B44-030,Installed,Type D,Nostrand Avenue,DeKalb Avenue,Kosciuszko Street,W,116,92,475.36105044
0101000020E6100000FE0E1471CE7952C05C9FA42D765F4440,132,2920,19.55,WO-008,Installed,Type B,61 Street,Roosevelt Avenue,39 Avenue,E,117,720,1317.19558842
0101000020E6100000DD5606AC547652C039B556B1EE664440,133,3146,349,CP-001,Installed,Custom,Soundview Avenue,Shorehaven Greenway,,S,118,804,3380.86010727
0101000020E610000077D3D3FCA27952C0CD5AAA38916C4440,134,791,23,X41-006,Pending Sign,Type D,Webster Avenue,E Tremont Avenue,E 178 Street,E,119,247,9.48505167
0101000020E6100000088BE8E9C68952C0EA23EEBC86514440,135,1346,84.67,NS-001,Pending Sign,Type A,Richmond Terrace,Van Name Avenue,Mariners Lane,N,120,459,9478.42849814
0101000020E6100000296E7E8E207C52C081627B9A816C4440,136,1204,16.95,UM-023,Installed,Type B,Fort Washington Avenue,W 177 Street,W 176 Street,E,121,416,180.78060174
0101000020E610000018C7F067DB7952C08DB52A93A7594440,137,1870,81.5,RD-005,Installed,Type B,Myrtle Avenue,Seneca Avenue,Catalpa Avenue,N,122,611,1394.10339829
0101000020E6100000A416589DEE7B52C013158FFFF65F4440,138,78,35,LI-023,Installed,Type B,Queens Plaza East,Queens Plaza North,Queens Plaza,W,123,47,945.74919157
0101000020E61000006113D70BDB7C52C02A782418F6544440,139,507,175.43,NR-066,Installed,Type B,Nostrand Avenue,Empire Boulevard,Sterling Street,E,124,181,114.75123971
0101000020E6100000D6E5794A4F7F52C006C3F9AF994D4440,140,3078,38.4,B82-004,Pending Sign,Type D,Bay Parkway,78 Street,79 Street,E,125,763,13.0339148
0101000020E61000008617D12C9E7252C0AF8B55F9755A4440,141,1470,68.8,JM-026,Installed,Type B,Jamaica Avenue,169 Street,168 Place,S,126,517,2528.50883389
0101000020E61000002B9C529B5A8252C099A27E96CC514440,142,2947,112.34,BR-074,Installed,Custom,Bay Ridge Avenue,Shore Road,Ferry Terminal,E,127,730,1243.7255742
0101000020E6100000B3CC603FAA7952C04E62AC7D41694440,143,2173,287.59,X6-047,Installed,Type D,E 163 Street,Prospect Avenue,Union Avenue,N,128,631,216.79514206
0101000020E6100000DF32185EC37F52C060119D87B35B4440,144,94,114,CH-018,Installed,Type B,Canal Street,Bowery,Elizabeth Street,N,129,58,72.94526952
0101000020E6100000DFDB8FA51F7952C0E98D4950D95F4440,145,3131,81.95,JH-043,Installed,Type B,37 Avenue,73 Street,74 Street,S,130,797,164.62673005
0101000020E61000009CD099748B7D52C03F6DBC08D9534440,146,1359,63,HB-055,Installed,Type B,Parkside Avenue,Ocean Avenue,Parkside Court,N,131,465,55.36455925
0101000020E6100000A2B5E82CE37B52C0B6634A5ED1624440,147,2955,21.34,AS-059,Installed,Custom,Astoria Ferry Terminal,,,N,132,735,837.02716686
0101000020E6100000A58947A7607F52C0552CA0BE395B4440,148,2605,83.96,LM-198,Installed,Type A,Madison Street,Rutgers Street,Pike Street,N,133,654,110.21477413
0101000020E610000078185AC73A7D52C0CE62A37C55554440,149,511,105.38,NR-070,Installed,Type B,Crown Street,Bedford Avenue,Franklin Avenue,N,134,182,366.18111709
0101000020E6100000ACD04EB15F7E52C0525FEC2DE6574440,150,3039,171.36,DB-061,Sign Held,Type B,South Portland Avenue,Fulton Street,Lafayette Avenue,W,135,750,54.40068784
0101000020E610000016503F73C57A52C0F8F069C195554440,151,1301,78.08,BV-001,Pending Sign,Type B,Pitkin Avenue,Grafton Street,Legion Street,N,136,449,523.56315253
0101000020E61000005FC4EBF6BC7D52C0A49B5DF967574440,152,496,171.28,NR-055,Installed,Type B,Washington Avenue,Fulton Street,Atlantic Avenue,E,137,175,246.37943922
0101000020E610000016A60089407952C0254D442A5A6E4440,153,954,98.97,FR-005,Installed,Type B,E Fordham Road,E Kingsbridge Road,Valentine Avenue,N,138,299,106.46272276
0101000020E6100000C0F8BE42217A52C06CF512DF74684440,154,2857,75.43,SX-088,Installed,Type B,Westchester Avenue,Jackson Avenue,Trinity Avenue,N,139,683,264.68958288
0101000020E6100000D4D5A261A07E52C0F24F2C3B86574440,155,1002,27,DB-013,Installed,Type B,4 Avenue,Pacific Street,Atlantic Avenue,E,140,311,355.77252494
0101000020E61000007C867A191E7C52C0A8EEF3FC9F6B4440,156,1217,119,UM-035,Installed,Type B,W 168 Street,St. Nicholas Avenue,Audubon Avenue,N,141,422,165.25178886
0101000020E6100000A9E4B1D2C57A52C0473E1BEDF0504440,157,3101,229.65,B82-030,Pending Sign,Type D,Flatlands Avenue,Ralph Avenue,E 78 Street,N,142,779,432.46029605
0101000020E610000050AADC8D8A7B52C01911A2EA26584440,158,1427,171.4,B46-002,Installed,Type D,Malcolm X Boulevard,Gates Avenue,Quincy Street,W,143,489,247.24570017
0101000020E610000054AB75EF557D52C0785A7D296E624440,159,1665,29,UE-020,Pending Sign,Type B,2 Avenue,E 72 Street,E 73 Street,W,144,558,212.03250023
0101000020E61000007A503BF7FA7B52C08EC5808DA74F4440,160,3106,246.58,B82-033,Pending Sign,Type D,Kings Highway,Flatbush Avenue,Ryder Street,N,145,783,14.22850572
