the_geom,cartodb_id,cb_link_id,borough,community_board,council_district,latitude,longitude,project_status,smallest_ppt,street_address,postcode,link_site_id,link_smoke_tested_and_activated_a,link_installation_a,neighborhood_tabulation_area_nta,building_identification_number_bin,borough_block_lot_bbl,census_tract_ct,cross_street_1,cross_street_2,ixn_corner,gf_permit_application_id,location,x_coordinate,y_coordinate,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E6100000206118B0E47B52C04D8578245E6C4440,32,LINK-011100,Manhattan,112,10,40.846623,-73.935833,Live,134849,1339 ST. NICHOLAS AVENUE,10033,mn-12-134849,2/7/18,12/6/17,Washington Heights South,1063552,1021440049,1026300,WEST 177 STREET,WEST 176 STREET,SW,,"(40.84662333, -73.93583333)","1,002,003.05","247,731.64",17,838,93.61877117
0101000020E61000000A65E1EB6B7A52C001BEDBBC71624440,33,LINK-013526,Queens,401,22,40.769096,-73.912837,Live,125165,37-02 ASTORIA BOULEVARD SOUTH,11103,qu-01-125165,1/15/19,6/14/18,Astoria,4010183,4006530043,4006502,37 STREET,38 STREET,SE,,"(40.76909552, -73.912837)","1,008,393.58","219,491.02",18,413,652.5996984
0101000020E61000002C4487C0917E52C0E36F7B82C4644440,34,LINK-000994,Manhattan,107,6,40.787247,-73.977646,Live,133810,2321 BROADWAY,10024,mn-07-133810,12/14/16,11/2/16,Upper West Side,1033104,1012327501,1017100,WEST 84 STREET,WEST 85 STREET,NW,,"(40.78724687, -73.97764565)","990,440.32","226,092.95",19,1438,299.1807302
0101000020E6100000C76647AAEF7D52C0BD8DCD8E54574440,35,LINK-021686,Brooklyn,302,35,40.682268,-73.967753,Live,145868,470 VANDERBILT AVENUE,11238,bk-02-145868,6/12/18,7/15/17,Clinton Hill,3335094,3020090001,3019900,ATLANTIC AVENUE,FULTON STREET,NW,81856,"(40.68226753, -73.96775318)","993,193.80","187,846.53",20,230,86.93576124
0101000020E610000004AC55BB267852C0C2F693313E5E4440,36,LINK-018142,Queens,404,25,40.736273,-73.877364,Live,145745,86-10 QUEENS BOULEVARD,11373,qu-04-145745,6/13/17,2/25/17,Elmhurst,4064656,4028510027,4047500,GRAND AVENUE,54 AVENUE,SW,81549,"(40.736273, -73.877364)","1,018,236.10","207,544.49",21,1124,65.61089832
0101000020E6100000DE736039427C52C0CD1FD3DA34664440,37,LINK-013369,Manhattan,111,8,40.798488,-73.941542,Live,120249,150 EAST 116 STREET,10029,mn-11-120249,11/3/17,9/23/17,East Harlem North,1052262,1016430052,1018200,LEXINGTON AVENUE,3 AVENUE,SE,,"(40.798488, -73.941542)","1,000,435.34","230,193.09",22,1627,82.47091453
0101000020E6100000E65C8AABCA7C52C07C6308008E534440,38,LINK-012825,Brooklyn,317,40,40.652771,-73.94987,Live,127012,1380 NOSTRAND AVENUE,11226,bk-17-127012,6/9/17,4/8/17,Prospect Lefferts Gardens-Wingate,3116689,3050850068,3082000,LINDEN BOULEVARD,LENOX ROAD,NW,,"(40.652771, -73.94987)","998,159.93","177,102.44",23,627,237.7533943
0101000020E61000009E9ACB0D867E52C01805C1E3DB634440,39,LINK-013690,Manhattan,107,6,40.780148,-73.976932,Live,121161,338 COLUMBUS AVENUE,10024,mn-07-121161,6/5/18,2/9/18,Upper West Side,1030178,1011480014,1016100,WEST 76 STREET,WEST 77 STREET,NW,,"(40.78014761, -73.97693216)","990,638.58","223,506.50",24,349,75.12917367
0101000020E61000000803CFBD878052C09ED2C1FA3F534440,40,LINK-011802,Brooklyn,307,38,40.65039,-74.008285,Live,125840,4201 4 AVENUE,11232,bk-07-125840,6/25/18,4/10/18,Sunset Park West,3010833,3007240001,3008200,42 STREET,43 STREET,NE,,"(40.65039017, -74.00828534)","981,950.92","176,231.17",25,399,4389.222534
0101000020E6100000BF9A0304737952C0D93F4F03066F4440,41,LINK-001354,Bronx,207,14,40.867371,-73.897645,Live,119760,2663 JEROME AVENUE,10468,bx-07-119760,7/19/16,7/1/16,Kingsbridge Heights,2014396,2032020035,2026500,EAST KINGSBRIDGE ROAD,EAST 193 STREET,SW,,"(40.86737055, -73.89764488)","1,012,559.85","255,300.69",26,1194,182.149323
0101000020E610000092AE997CB37252C07C26FBE7695A4440,42,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",27,1588,7082.633389
0101000020E610000010070951BE7552C0F19E03CB115C4440,43,LINK-001125,Queens,406,29,40.719293,-73.839741,Live,124180,110-44 QUEENS BOULEVARD,11375,qu-06-124180,7/29/16,7/20/16,Forest Hills,4078798,4032920015,4076901,ASCAN AVENUE,73 ROAD,SE,,"(40.719293, -73.839741)","1,028,673.86","201,375.00",28,476,3758.633912
0101000020E610000092AE997CB37252C07C26FBE7695A4440,44,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",29,1588,3460.835193
0101000020E610000092AE997CB37252C07C26FBE7695A4440,45,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",30,1588,11942.87115
0101000020E610000055DAE21A9F7D52C08656276728524440,46,LINK-013093,Brooklyn,314,40,40.641858,-73.962836,Live,126362,1626 CORTELYOU ROAD,11226,bk-14-126362,4/23/18,12/2/17,Flatbush,3118755,3051590010,3051400,EAST 17 STREET,EAST 16 STREET,SE,,"(40.64185835, -73.96283585)","994,563.89","173,124.87",31,62,3915.852438
0101000020E6100000CEC64ACCB37852C097546D37C16B4440,47,LINK-010198,Bronx,206,17,40.841834,-73.885974,Live,101312,1917 SOUTHERN BOULEVARD,10460,bx-06-101312,7/12/18,5/17/18,East Tremont,2010153,2029600039,2036502,ELSMERE PLACE,FAIRMOUNT PLACE,SW,,"(40.84183354, -73.88597436)","1,015,799.85","246,000.57",32,1163,5181.952216
0101000020E61000003F53AF5B047C52C04ED1915CFE654440,48,LINK-011378,Manhattan,111,8,40.796825,-73.937766,Live,120314,2256 2 AVENUE,10029,mn-11-120314,3/31/17,12/18/16,East Harlem North,1052931,1016870049,1018800,EAST 116 STREET,EAST 115 STREET,NE,,"(40.79682481, -73.93776628)","1,001,481.15","229,587.85",33,1311,354.5671658
0101000020E610000092AE997CB37252C07C26FBE7695A4440,49,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",34,1588,7411.125902
0101000020E6100000A24621C9AC7C52C03E42CD902A6A4440,50,LINK-002066,Manhattan,109,7,40.829424,-73.948046,Live,136852,3632 BROADWAY,10031,mn-09-136852,3/13/18,10/28/17,Hamilton Heights,1062124,1020810061,1023300,WEST 149 STREET,WEST 150 STREET,SE,,"(40.829424, -73.948046)","998,627.88","241,463.05",35,59,25.40600478
0101000020E6100000956247E3507D52C066101FD8F1614440,51,LINK-013673,Manhattan,108,5,40.765193,-73.958062,Live,120952,1259 1 AVENUE,10065,mn-08-120952,12/20/18,4/23/18,Lenox Hill-Roosevelt Island,1086891,1014420015,1011800,EAST 68 STREET,EAST 67 STREET,SW,,"(40.76519297, -73.95806217)","995,867.18","218,059.96",36,559,49.87761164
0101000020E6100000C18EFF02417A52C0F5BBB0355B6D4440,52,LINK-010287,Bronx,205,14,40.854346,-73.910218,Live,113539,70 WEST BURNSIDE AVENUE,10453,bx-05-113539,1/17/17,12/6/16,University Heights-Morris Heights,2008556,2028680139,2024300,HARRISON AVENUE,UNIVERSITY AVENUE,SW,,"(40.85434622, -73.91021789)","1,009,087.22","250,551.61",37,775,18.92626545
0101000020E610000094F8DC09F67A52C0058A58C4B0614440,53,LINK-020960,Queens,401,22,40.763207,-73.921267,Live,146039,33-20 31 AVENUE,11106,qu-01-146039,6/7/19,12/15/17,Astoria,4008904,4006230044,4006100,34 STREET,33 STREET,SW,82027,"(40.763207, -73.921267)","1,006,060.45","217,343.43",38,1143,43.35902733
0101000020E610000015E29178797F52C02AC93A1C5D554440,54,LINK-021519,Brooklyn,306,39,40.666904,-73.991789,Live,145909,548 4 AVENUE,11215,bk-06-145909,1/5/18,7/15/17,Park Slope-Gowanus,3398113,3010400048,3011700,15 STREET,14 STREET,NW,81829,"(40.666904, -73.991789)","986,527.88","182,247.61",39,1453,94.94143789
0101000020E6100000FB761211FE7C52C068B0A9F3A8684440,55,LINK-006031,Manhattan,109,9,40.817656,-73.953007,Live,120563,1481 AMSTERDAM AVENUE,10031,mn-09-120563,9/28/16,8/5/16,Manhattanville,1059645,1019710001,1021303,WEST 133 STREET,WEST 134 STREET,NE,,"(40.817656, -73.953007)","997,257.26","237,174.76",40,969,12.11579829
0101000020E6100000B9162D40DB7F52C098A608707A5F4440,56,LINK-000483,Manhattan,104,3,40.745924,-73.997757,Live,139167,259 WEST 24 STREET,10001,mn-04-139167,4/7/16,3/16/16,Hudson Yards-Chelsea-Flatiron-Union Square,1014167,1007740001,1009100,8 AVENUE,7 AVENUE,NE,,"(40.74592407, -73.99775661)","984,871.62","211,036.90",41,755,132.6287409
0101000020E6100000EAB303AE2B7C52C0A0C552245F534440,57,LINK-001091,Brooklyn,317,41,40.651341,-73.940166,Live,126292,3923 CHURCH AVENUE,11203,bk-17-126292,7/24/18,2/26/18,East Flatbush-Farragut,3108908,3048760033,3081400,EAST 40 STREET,EAST 39 STREET,NW,,"(40.651341, -73.940166)","1,000,852.93","176,583.14",42,1129,114.6031428
0101000020E61000002578431A157C52C0B859BC58186C4440,58,LINK-004664,Manhattan,112,10,40.844493,-73.938788,Live,120796,4100 BROADWAY,10032,mn-12-120796,2/25/19,3/19/18,Washington Heights South,1063464,1021410033,1025300,WEST 173 STREET,WEST 172 STREET,SE,,"(40.84449293, -73.93878768)","1,001,186.21","246,954.87",43,433,203.1153663
0101000020E6100000CCCF0D4DD97D52C05B40683D7C614440,59,LINK-000369,Manhattan,108,4,40.761604,-73.966388,Live,121734,991 3 AVENUE,10022,mn-08-121734,3/29/16,2/27/16,Lenox Hill-Roosevelt Island,1043336,1014140001,1011000,EAST 59 STREET,EAST 60 STREET,NE,,"(40.76160412, -73.9663883)","993,561.27","216,751.43",44,1519,29.99360066
0101000020E6100000D61C2098A38052C062F54718065A4440,60,LINK-000763,Manhattan,101,1,40.703311,-74.009985,Live,123002,55 WATER STREET,10004,mn-01-123002,2/27/18,11/11/17,Battery Park City-Lower Manhattan,1083346,1000327501,1000900,COENTIES SLIP,OLD SLIP,SE,,"(40.70331108, -74.00998457)","981,481.61","195,511.82",45,1096,609.8103844
0101000020E61000007FC2D9AD657F52C00490DAC4C95B4440,61,LINK-013858,Manhattan,103,1,40.717095,-73.990581,Live,122371,323 GRAND STREET,10002,mn-03-122371,2/9/18,11/11/17,Chinatown,1004005,1003090011,1001600,ORCHARD STREET,LUDLOW STREET,SE,,"(40.71709475, -73.99058102)","986,861.03","200,533.61",46,1813,372.6136411
0101000020E61000000803CFBD878052C09ED2C1FA3F534440,62,LINK-011802,Brooklyn,307,38,40.65039,-74.008285,Live,125840,4201 4 AVENUE,11232,bk-07-125840,6/25/18,4/10/18,Sunset Park West,3010833,3007240001,3008200,42 STREET,43 STREET,NE,,"(40.65039017, -74.00828534)","981,950.92","176,231.17",47,399,193.859055
0101000020E6100000C2D9AD65327D52C01AA3755435574440,63,LINK-018101,Brooklyn,303,35,40.681315,-73.956201,Live,145784,1139 FULTON STREET,11238,bk-03-145784,3/24/17,3/11/17,Clinton Hill,3057391,3019970046,3022700,FRANKLIN AVENUE,CLAVER PLACE,NE,81511,"(40.68131525, -73.95620126)","996,397.95","187,500.97",48,1510,166.52467
0101000020E61000004548DDCEBE7E52C0E1F1ED5D835E4440,64,LINK-012714,Manhattan,106,2,40.738384,-73.980396,Live,138795,416 2 AVENUE,10010,mn-06-138795,1/3/18,9/28/17,Gramercy,1084709,1009290001,1006400,EAST 24 STREET,EAST 23 STREET,SE,,"(40.73838376, -73.98039603)","989,682.68","208,290.33",49,455,137.4401011
0101000020E61000000803CFBD878052C09ED2C1FA3F534440,65,LINK-011802,Brooklyn,307,38,40.65039,-74.008285,Live,125840,4201 4 AVENUE,11232,bk-07-125840,6/25/18,4/10/18,Sunset Park West,3010833,3007240001,3008200,42 STREET,43 STREET,NE,,"(40.65039017, -74.00828534)","981,950.92","176,231.17",50,399,2572.987831
0101000020E6100000DCA0F65B3B7F52C02B685A6265584440,66,LINK-006143,Brooklyn,302,33,40.690594,-73.987998,Live,126847,141 LIVINGSTON STREET,11201,bk-02-126847,5/3/17,2/24/17,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000428,3001540028,3003700,SMITH STREET,BOERUM PLACE,NW,,"(40.69059444, -73.9879984)","987,578.28","190,878.84",51,102,317.0112361
0101000020E610000092AE997CB37252C07C26FBE7695A4440,67,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",52,1588,1353.152698
0101000020E61000009A779CA2237952C051A5660FB46E4440,68,LINK-018398,Bronx,207,15,40.86487,-73.8928,Live,145853,2620 BRIGGS AVENUE,10458,bx-07-145853,10/26/17,6/24/17,Bedford Park-Fordham North,2000000,2032930049,2039901,EAST 194 STREET,EAST KINGSBRIDGE ROAD,SE,81678,"(40.86487, -73.8928)","1,013,900.99","254,391.24",53,1310,1265.536797
0101000020E6100000768D96033D7F52C0598AE42B81624440,69,LINK-010320,Manhattan,104,3,40.769567,-73.988099,Live,136065,886 10 AVENUE,10019,mn-04-136065,2/8/18,11/4/17,Clinton,1026899,1010670062,1013900,WEST 58 STREET,WEST 57 STREET,SE,,"(40.76956734, -73.98809867)","987,546.57","219,651.13",54,1387,348.9823183
0101000020E610000059A2B3CC227A52C05C8DEC4ACB564440,70,LINK-002348,Brooklyn,316,37,40.678079,-73.908374,Live,126638,2208 FULTON STREET,11233,bk-16-126638,1/17/17,12/22/16,Ocean Hill,3042262,3015520041,3036900,EASTERN PARKWAY,ROCKAWAY AVENUE,SW,,"(40.678079, -73.908374)","1,009,664.48","186,332.17",55,590,909.7859737
0101000020E61000009A779CA2237952C051A5660FB46E4440,71,LINK-018398,Bronx,207,15,40.86487,-73.8928,Live,145853,2620 BRIGGS AVENUE,10458,bx-07-145853,10/26/17,6/24/17,Bedford Park-Fordham North,2000000,2032930049,2039901,EAST 194 STREET,EAST KINGSBRIDGE ROAD,SE,81678,"(40.86487, -73.8928)","1,013,900.99","254,391.24",56,1310,2356.629905
0101000020E6100000D5777E51827B52C092240857405F4440,72,LINK-001194,Queens,402,26,40.744151,-73.929829,Live,143797,45-01 35 STREET,11101,qu-02-143797,2/7/17,11/5/16,Hunters Point-Sunnyside-West Maspeth,4436685,4002260001,4017900,QUEENS BOULEVARD,47 AVENUE,SE,,"(40.744151, -73.929829)","1,003,694.19","210,398.70",57,1218,95.53803317
0101000020E6100000D90A9A96588052C0B87361A4175D4440,73,LINK-010733,Manhattan,102,3,40.727284,-74.005407,Installed,123589,180 VARICK STREET,10014,mn-02-123589,,7/31/18,SoHo-TriBeCa-Civic Center-Little Italy,1008117,1005190070,1003700,CHARLTON STREET,KING STREET,NE,,"(40.72728365, -74.00540707)","982,751.34","204,245.65",58,1674,76.38048847
